id,descripcion
1,"Reporte de un asesinato o homicidio en la vía pública."
2,"Reporte de un accidente de tráfico que involucra vehículos."
3,"Reporte de un accidente de tránsito que involucra una moto."
4,"Reporte de un robo en el que el perpetrador utiliza un arma."
5,"Reporte de acoso, intimidación o comportamiento inapropiado en la calle."
6,"Reporte de actividad ilegal relacionada con la venta de drogas."
7,"Reporte de daños intencionales a la propiedad pública o privada."
8,"Reporte de robo de un vehículo en la calle."
9,"Reporte de vehículos estacionados en lugares no permitidos."
10,"Reporte de un incendio en la vía pública."
11,"Reporte de una agresión física en la vía pública."
12,"Reporte de un vehículo abandonado en la calle."
13,"Reporte de acumulación de basura en la vía pública."
14,"Reporte de un perro suelto y sin correa en la calle."
15,"Reporte de actividades que causan contaminación ambiental."